                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4244,                  1.516,                 1.1351,                0.91095,                0.77972,                0.87197,                0.58258,                 1.1371,                0.69761,                 1.0267,              0.0033259,              0.0033259,              0.0033259
                      2,                 1.2731,                0.82139,                  1.021,                0.92551,                0.80498,                  0.889,                0.60618,                 1.0999,                0.65622,                 1.0181,               0.006586,               0.006586,               0.006586
                      3,                  1.297,                0.82966,                 1.0292,                0.91881,                0.81665,                0.89705,                0.59701,                 1.1406,                0.68581,                 1.0382,              0.0097727,              0.0097727,              0.0097727
                      4,                   1.31,                0.83054,                 1.0377,                0.88933,                0.80634,                0.88083,                0.58909,                 1.1488,                0.69094,                  1.046,                0.00967,                0.00967,                0.00967
                      5,                 1.2768,                0.78207,                 1.0274,                0.92323,                0.83669,                0.90876,                0.61179,                 1.1108,                0.64311,                 1.0345,                0.00956,                0.00956,                0.00956
                      6,                 1.2443,                0.74979,                 1.0102,                0.93583,                0.83577,                0.91237,                0.62566,                 1.0657,                0.61226,                 1.0102,                0.00945,                0.00945,                0.00945
                      7,                 1.2123,                0.71871,                0.99931,                0.94181,                0.84745,                0.92609,                0.65096,                  1.029,                0.58301,                0.99884,                0.00934,                0.00934,                0.00934
                      8,                 1.2041,                0.71234,                0.99503,                0.93572,                 0.8402,                0.92047,                0.65217,                 1.0266,                0.58155,                0.98755,                0.00923,                0.00923,                0.00923
                      9,                 1.1815,                0.69047,                0.98849,                0.94199,                0.85583,                0.92969,                0.65043,                 1.0349,                0.56383,                 0.9973,                0.00912,                0.00912,                0.00912
                     10,                 1.1683,                0.67477,                0.98307,                0.93571,                0.85832,                0.92999,                0.65554,                 1.0131,                0.56081,                0.98083,                0.00901,                0.00901,                0.00901
                     11,                 1.1538,                0.66636,                0.97665,                0.95481,                0.84236,                0.93464,                0.66077,                 1.0046,                0.55996,                 0.9766,                 0.0089,                 0.0089,                 0.0089
                     12,                 1.1362,                0.65316,                 0.9695,                0.94303,                0.86984,                0.94099,                0.66733,                 1.0009,                0.54584,                0.98258,                0.00879,                0.00879,                0.00879
                     13,                 1.1179,                0.64047,                0.96648,                0.94834,                 0.8669,                0.93864,                0.67371,                0.98231,                0.53543,                0.97566,                0.00868,                0.00868,                0.00868
                     14,                 1.1059,                0.62798,                0.96421,                0.94616,                0.87764,                 0.9412,                0.68769,                0.95236,                0.52493,                0.95612,                0.00857,                0.00857,                0.00857
                     15,                  1.099,                0.62074,                0.95879,                0.95041,                0.86814,                0.93966,                0.68071,                  0.953,                0.52506,                0.96671,                0.00846,                0.00846,                0.00846
                     16,                 1.0959,                0.61376,                0.95797,                0.94785,                0.87687,                0.94517,                0.68492,                0.94998,                0.50951,                0.96127,                0.00835,                0.00835,                0.00835
                     17,                 1.0879,                0.60893,                0.95635,                0.95653,                0.87667,                0.94651,                0.69058,                 0.9417,                0.51042,                0.95037,                0.00824,                0.00824,                0.00824
                     18,                 1.0807,                0.60525,                0.95229,                0.95695,                0.87293,                0.94792,                0.69404,                 0.9264,                0.50186,                0.95421,                0.00813,                0.00813,                0.00813
                     19,                 1.0702,                0.59664,                0.94817,                0.95868,                0.88381,                0.95208,                0.69737,                0.94414,                0.49936,                0.95037,                0.00802,                0.00802,                0.00802
                     20,                 1.0647,                0.59385,                0.94738,                0.95461,                0.88177,                0.94892,                0.69643,                0.92999,                0.48965,                0.94308,                0.00791,                0.00791,                0.00791
                     21,                 1.0622,                0.59165,                0.94634,                0.95005,                0.87701,                0.94965,                0.69816,                0.92872,                0.49793,                0.94495,                 0.0078,                 0.0078,                 0.0078
                     22,                 1.0549,                0.58219,                0.94316,                0.95758,                0.88445,                0.95261,                0.70355,                0.92525,                0.47827,                0.95095,                0.00769,                0.00769,                0.00769
                     23,                 1.0496,                0.57576,                0.94204,                0.96016,                0.88381,                0.95309,                0.70756,                0.89498,                0.48051,                0.94041,                0.00758,                0.00758,                0.00758
